indicador;nivel_territorial;abertura_territorial;var_de_abertura1;categoria_de_abertura1;var_de_abertura2;categoria_de_abertura2;maio;junho;maio_para_junho;julho;junho_para_julho;agosto;julho_para_agosto;setembro;agosto_para_setembro;outubro;setembro_para_outubro;novembro;outubro_para_novembro
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Sexo;Total;-;-;24012,30805;15506,47352;Queda;13793,33877;Queda;12135,65002;Queda;9237,127768;Queda;7810,718422;Queda;7956,19569;Estável
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Sexo;Homem;-;-;10406,81513;6685,178015;-;5888,352772;-;5198,160462;-;3995,949215;-;3328,752283;-;3430,951501;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Sexo;Mulher;-;-;13605,49293;8821,295504;-;7904,985997;-;6937,489559;-;5241,178553;-;4481,966139;-;4525,244189;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;Total;-;-;24012,30805;15506,47352;-;13793,33877;-;12135,65002;-;9237,127768;-;7810,718422;-;7956,19569;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;0 a 9 anos;-;-;1735,704555;1194,309017;-;1076,65231;-;1208,191614;-;840,3526276;-;815,9662497;-;868,6464971;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;10 a 19 anos;-;-;2268,672977;1400,562073;-;1306,471455;-;1223,444519;-;875,8449047;-;772,2371818;-;762,6848188;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;20 a 29 anos;-;-;4296,956701;2674,050166;-;2330,513609;-;1990,624739;-;1484,812856;-;1247,769661;-;1311,818576;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;30 a 59 anos;-;-;12149,55678;7786,126172;-;6824,362021;-;5744,55615;-;4387,213066;-;3612,158421;-;3627,821057;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;60 anos ou mais;-;-;3561,417044;2451,426091;-;2255,339375;-;1968,833;-;1648,904314;-;1362,586908;-;1385,224741;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade 2;Total ;-;-;24012,30805;15506,47352;-;13793,33877;-;12135,65002;-;9237,127768;-;7810,718422;-;7956,19569;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade 2;0 a 59 anos ;-;-;20450,89101;13055,04743;-;11537,99939;-;10166,81702;-;7588,223453;-;6448,131513;-;6570,970949;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade 2;60 anos ou mais ;-;-;3561,417044;2451,426091;-;2255,339375;-;1968,833;-;1648,904314;-;1362,586908;-;1385,224741;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Cor ou Raça;Total4;-;-;24012,30805;15506,47352;-;13793,33877;-;12135,65002;-;9237,127768;-;7810,718422;-;7956,19569;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Cor ou Raça;Branca;-;-;9674,587942;6311,659556;-;5815,691615;-;5275,086899;-;3981,628917;-;3275,056066;-;3536,369156;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Cor ou Raça;Preta ou parda;-;-;13980,96636;8996,996719;-;7805,100662;-;6716,392786;-;5144,241363;-;4460,642116;-;4331,267635;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Total;-;-;24012,30805;15506,47352;-;13793,33877;-;12135,65002;-;9237,127768;-;7810,718422;-;7956,19569;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;7877,641932;5384,199152;-;4837,796756;-;4613,692532;-;3475,595934;-;3030,567446;-;2994,056478;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;3923,287695;2467,464715;-;2292,886273;-;1925,976956;-;1416,281017;-;1211,535943;-;1252,107291;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;8360,363563;5204,942511;-;4519,055417;-;3762,398675;-;2907,863441;-;2404,214921;-;2403,727698;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;3851,014865;2449,867141;-;2143,600324;-;1833,581859;-;1437,387376;-;1164,400112;-;1306,304222;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Total;-;-;0,971802614;1,093221876;-;1,198469798;-;1,261531754;-;1,551930733;-;1,58126464;-;1,585692917;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Homem;-;-;1,222543063;1,430941207;-;1,486408037;-;1,606440914;-;1,980453351;-;2,057450942;-;2,113059815;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Mulher;-;-;1,064502392;1,186978236;-;1,334015735;-;1,421994312;-;1,697538461;-;1,801860704;-;1,722430693;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;Total;-;-;0,971802614;1,093221876;-;1,198469798;-;1,261531754;-;1,551930733;-;1,58126464;-;1,585692917;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;0 a 9 anos;-;-;2,909366441;3,330792895;-;3,548401078;-;3,419362756;-;4,05337871;-;4,470862468;-;4,570306571;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;10 a 19 anos;-;-;2,294990384;2,686560474;-;2,980963798;-;3,045351556;-;3,674854819;-;4,067324537;-;3,810351586;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;20 a 29 anos;-;-;1,797447544;2,103492621;-;2,298076264;-;2,55847697;-;3,210584874;-;3,243283571;-;3,206693556;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;30 a 59 anos;-;-;1,083915184;1,29756662;-;1,399012155;-;1,486410344;-;1,96469869;-;1,924572129;-;1,8933548;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;60 anos ou mais;-;-;1,654944297;1,969083486;-;2,075136345;-;2,189463929;-;2,381993638;-;2,588158424;-;2,777597069;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;Total ;-;-;0,971802614;1,093221876;-;1,198469798;-;1,261531754;-;1,551930733;-;1,58126464;-;1,585692917;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;0 a 59 anos ;-;-;1,046808854;1,173949252;-;1,297764016;-;1,374306773;-;1,726591132;-;1,755298382;-;1,743287648;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade 2;60 anos ou mais ;-;-;1,654944297;1,969083486;-;2,075136345;-;2,189463929;-;2,381993638;-;2,588158424;-;2,777597069;-
