indicador;nivel_territorial;abertura_territorial;var_de_abertura1;categoria_de_abertura1;var_de_abertura2;categoria_de_abertura2;maio;junho;maio_para_junho;julho;junho_para_julho;agosto;julho_para_agosto;setembro;agosto_para_setembro;outubro;setembro_para_outubro;novembro;outubro_para_novembro
População Residente (mil pessoas);País;Brasil;Sexo;Total;-;-;210869,401;211000,542;-;211131,421;-;211262,055;-;211392,451;-;211522,549;-;211652,369;-
População Residente (mil pessoas);País;Brasil;Sexo;Homem;-;-;103090,474;103152,951;-;103215,343;-;103277,548;-;103339,616;-;103401,632;-;103463,417;-
População Residente (mil pessoas);País;Brasil;Sexo;Mulher;-;-;107778,927;107847,591;-;107916,078;-;107984,507;-;108052,835;-;108120,917;-;108188,952;-
População Residente (mil pessoas);País;Brasil;Cor ou raça;Total1;-;-;210869,401;211000,542;-;211131,421;-;211262,055;-;211392,451;-;211522,549;-;211652,369;-
População Residente (mil pessoas);País;Brasil;Cor ou raça;Branca;-;-;92966,51982;92802,29479;-;92839,96899;-;93249,23564;-;93347,79506;-;93448,40336;-;93550,04759;-
População Residente (mil pessoas);País;Brasil;Cor ou raça;Preta ou parda;-;-;115474,5257;115950,4616;-;115983,5114;-;115779,0666;-;115849,4483;-;115894,7369;-;115867,6176;-
População Residente (mil pessoas);País;Brasil;Grupos de idade população;Total;-;-;210869,401;211000,542;-;211131,421;-;211262,055;-;211392,451;-;211522,549;-;211652,369;-
População Residente (mil pessoas);País;Brasil;Grupos de idade população;0 a 13 anos ;-;-;40976,12215;40854,62008;-;40922,91897;-;40949,69358;-;40861,88161;-;40921,52023;-;40910,83764;-
População Residente (mil pessoas);País;Brasil;Grupos de idade população;14 a 29 anos ;-;-;52947,35985;53019,58692;-;52906,07103;-;52831,31342;-;52871,03239;-;52766,62977;-;52728,94936;-
População Residente (mil pessoas);País;Brasil;Grupos de idade população;30 a 49 anos ;-;-;63203,451;63258,306;-;63311,595;-;63364,104;-;63416,549;-;63468,467;-;63520,745;-
População Residente (mil pessoas);País;Brasil;Grupos de idade população;50 a 59 anos ;-;-;23759,121;23792,174;-;23823,383;-;23853,666;-;23883,923;-;23913,636;-;23943,828;-
População Residente (mil pessoas);País;Brasil;Grupos de idade população;60 anos ou mais ;-;-;29983,347;30075,855;-;30167,453;-;30263,278;-;30359,065;-;30452,296;-;30548,009;-
População Residente (mil pessoas);País;Brasil;Nível de instrução;Total;-;-;210869,401;211000,542;-;211131,421;-;211262,055;-;211392,451;-;211522,549;-;211652,369;-
População Residente (mil pessoas);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;86277,81384;87099,14179;-;87293,87929;-;87391,27209;-;87478,94089;-;87528,90883;-;87451,80854;-
População Residente (mil pessoas);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;33952,4108;33822,24892;-;33566,41137;-;33543,9966;-;33513,39868;-;33560,1709;-;33621,63534;-
População Residente (mil pessoas);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;62897,50098;62610,66427;-;62659,093;-;62522,88901;-;62616,76687;-;62724,15536;-;62782,78663;-
População Residente (mil pessoas);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;27741,67538;27468,48702;-;27612,03733;-;27803,8973;-;27783,34456;-;27709,31391;-;27796,13849;-
CV - População Residente (%);País;Brasil;Sexo;Total;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - População Residente (%);País;Brasil;Sexo;Homem;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - População Residente (%);País;Brasil;Sexo;Mulher;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - População Residente (%);País;Brasil;Cor ou raça;Total1;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - População Residente (%);País;Brasil;Cor ou raça;Branca;-;-;0,491828612;0,479425117;-;0,481436888;-;0,482136289;-;0,476978472;-;0,47896338;-;0,481631474;-
CV - População Residente (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;0,397636495;0,385677824;-;0,387822574;-;0,391602697;-;0,387507248;-;0,389219554;-;0,392953813;-
CV - População Residente (%);País;Brasil;Grupos de idade população;Total;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - População Residente (%);País;Brasil;Grupos de idade população;0 a 13 anos ;-;-;0,207978672;0,206108782;-;0,204902302;-;0,200521428;-;0,199751605;-;0,204614963;-;0,200459297;-
CV - População Residente (%);País;Brasil;Grupos de idade população;14 a 29 anos ;-;-;0,160955324;0,158818589;-;0,158492213;-;0,1554247;-;0,154379933;-;0,158682777;-;0,15553046;-
CV - População Residente (%);País;Brasil;Grupos de idade população;30 a 49 anos ;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - População Residente (%);País;Brasil;Grupos de idade população;50 a 59 anos ;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - População Residente (%);País;Brasil;Grupos de idade população;60 anos ou mais ;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - População Residente (%);País;Brasil;Nível de instrução;Total;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - População Residente (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,334984732;0,320549186;-;0,317381964;-;0,31587333;-;0,317751201;-;0,318207171;-;0,318364455;-
CV - População Residente (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,612566178;0,590233342;-;0,585471807;-;0,592472151;-;0,594191039;-;0,611087051;-;0,615565874;-
CV - População Residente (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;0,396381127;0,391078615;-;0,391213678;-;0,392697415;-;0,390130371;-;0,39368991;-;0,39315449;-
CV - População Residente (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;1,169615107;1,178111974;-;1,182303462;-;1,187478235;-;1,187919262;-;1,181621864;-;1,181832028;-
Distribuição da população residente (%);País;Brasil;Sexo;Total;-;-;100;100;-;100;-;100;-;100;-;100;-;100;-
Distribuição da população residente (%);País;Brasil;Sexo;Homem;-;-;48,88830409;48,88752892;-;48,88677512;-;48,88599043;-;48,88519695;-;48,88444872;-;48,88365648;-
Distribuição da população residente (%);País;Brasil;Sexo;Mulher;-;-;51,11169591;51,11247108;-;51,11322488;-;51,11400957;-;51,11480305;-;51,11555128;-;51,11634352;-
Distribuição da população residente (%);País;Brasil;Cor ou raça;Total1;-;-;100;100;-;100;-;100;-;100;-;100;-;100;-
Distribuição da população residente (%);País;Brasil;Cor ou raça;Branca;-;-;44,08724992;43,98201726;-;43,97259704;-;44,1391312;-;44,15852819;-;44,17893213;-;44,19985849;-
Distribuição da população residente (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;54,76115791;54,95268427;-;54,9342731;-;54,80353137;-;54,80302053;-;54,79072442;-;54,74430463;-
Distribuição da população residente (%);País;Brasil;Grupos de idade população;Total;-;-;100;100;-;100;-;100;-;100;-;100;-;100;-
Distribuição da população residente (%);País;Brasil;Grupos de idade população;0 a 13 anos ;-;-;19,43199058;19,36232945;-;19,38267586;-;19,38336422;-;19,32986794;-;19,34617393;-;19,32926045;-
Distribuição da população residente (%);País;Brasil;Grupos de idade população;14 a 29 anos ;-;-;25,1090768;25,12770176;-;25,05835976;-;25,00747871;-;25,01084222;-;24,9461015;-;24,91299748;-
Distribuição da população residente (%);País;Brasil;Grupos de idade população;30 a 49 anos ;-;-;29,97279392;29,9801628;-;29,98681802;-;29,99313057;-;29,99943882;-;30,00553241;-;30,01182803;-
Distribuição da população residente (%);País;Brasil;Grupos de idade população;50 a 59 anos ;-;-;11,2672208;11,27588288;-;11,28367483;-;11,29103189;-;11,29838028;-;11,30547836;-;11,31280888;-
Distribuição da população residente (%);País;Brasil;Grupos de idade população;60 anos ou mais ;-;-;14,2189179;14,2539231;-;14,28847154;-;14,32499461;-;14,36147074;-;14,3967138;-;14,43310516;-
Distribuição da população residente (%);País;Brasil;Nível de instrução;Total;-;-;100;100;-;100;-;100;-;100;-;100;-;100;-
Distribuição da população residente (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;40,91528379;41,27910809;-;41,34575464;-;41,36628894;-;41,38224448;-;41,38041511;-;41,31860605;-
Distribuição da população residente (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;16,1011558;16,02946068;-;15,89834958;-;15,87790888;-;15,85364024;-;15,86600155;-;15,88531019;-
Distribuição da população residente (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;29,82770411;29,67322438;-;29,67776786;-;29,59494501;-;29,62109885;-;29,65364953;-;29,66316273;-
Distribuição da população residente (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;13,1558563;13,01820685;-;13,07812793;-;13,16085717;-;13,14301643;-;13,09993381;-;13,13292103;-
CV - Distribuição da população residente (%);País;Brasil;Sexo;Total;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição da população residente (%);País;Brasil;Sexo;Homem;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição da população residente (%);País;Brasil;Sexo;Mulher;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição da população residente (%);País;Brasil;Cor ou raça;Total1;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição da população residente (%);País;Brasil;Cor ou raça;Branca;-;-;0,491828612;0,479425117;-;0,481436888;-;0,482136289;-;0,476978472;-;0,47896338;-;0,481631474;-
CV - Distribuição da população residente (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;0,397636495;0,385677824;-;0,387822574;-;0,391602697;-;0,387507248;-;0,389219554;-;0,392953813;-
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;Total;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;0 a 13 anos ;-;-;0,207978672;0,206108782;-;0,204902302;-;0,200521428;-;0,199751605;-;0,204614963;-;0,200459297;-
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;14 a 29 anos ;-;-;0,160955324;0,158818589;-;0,158492213;-;0,1554247;-;0,154379933;-;0,158682777;-;0,15553046;-
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;30 a 49 anos ;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;50 a 59 anos ;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;60 anos ou mais ;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Total;-;-;0;0;-;0;-;0;-;0;-;0;-;0;-
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,334984732;0,320549186;-;0,317381964;-;0,31587333;-;0,317751201;-;0,318207171;-;0,318364455;-
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,612566178;0,590233342;-;0,585471807;-;0,592472151;-;0,594191039;-;0,611087051;-;0,615565874;-
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;0,396381127;0,391078615;-;0,391213678;-;0,392697415;-;0,390130371;-;0,39368991;-;0,39315449;-
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;1,169615107;1,178111974;-;1,182303462;-;1,187478235;-;1,187919262;-;1,181621864;-;1,181832028;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Sexo;Total;-;-;169893,2789;170145,9219;Aumento;170208,502;Estável;170312,3614;Aumento;170530,5694;Aumento;170601,0288;Estável;170741,5314;Aumento
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Sexo;Homem;-;-;82172,57918;82324,98121;-;82362,22792;-;82418,6202;-;82503,78764;-;82540,52207;-;82612,9371;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Sexo;Mulher;-;-;87720,69968;87820,94071;-;87846,27411;-;87893,74122;-;88026,78175;-;88060,5067;-;88128,59426;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Cor ou raça;Total1;-;-;169893,2789;170145,9219;-;170208,502;-;170312,3614;-;170530,5694;-;170601,0288;-;170741,5314;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Cor ou raça;Branca;-;-;74931,24477;74832,66472;-;74901,82512;-;75146,2769;-;75253,54396;-;75240,41894;-;75335,5854;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Cor ou raça;Preta ou parda;-;-;92897,06849;93395,36861;-;93358,05121;-;93264,48818;-;93410,01628;-;93503,33033;-;93513,75889;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;Total;-;-;169893,2789;170145,9219;-;170208,502;-;170312,3614;-;170530,5694;-;170601,0288;-;170741,5314;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;14 a 29 anos;-;-;52947,35985;53019,58692;-;52906,07103;-;52831,31342;-;52871,03239;-;52766,62977;-;52728,94936;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;30 a 49 anos;-;-;63203,451;63258,306;-;63311,595;-;63364,104;-;63416,549;-;63468,467;-;63520,745;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;50 a 59 anos;-;-;23759,121;23792,174;-;23823,383;-;23853,666;-;23883,923;-;23913,636;-;23943,828;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;60 anos ou mais;-;-;29983,347;30075,855;-;30167,453;-;30263,278;-;30359,065;-;30452,296;-;30548,009;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Total;-;-;169893,2789;170145,9219;-;170208,502;-;170312,3614;-;170530,5694;-;170601,0288;-;170741,5314;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;45582,58796;46465,63419;-;46581,95602;-;46646,13641;-;46794,95859;-;46778,3896;-;46697,05397;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;33671,51453;33601,13644;-;33355,41568;-;33339,4387;-;33335,49937;-;33389,16989;-;33465,55227;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;62897,50098;62610,66427;-;62659,093;-;62522,88901;-;62616,76687;-;62724,15536;-;62782,78663;-
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;27741,67538;27468,48702;-;27612,03733;-;27803,8973;-;27783,34456;-;27709,31391;-;27796,13849;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Total;-;-;0,05016184;0,049489849;-;0,049264286;-;0,048213124;-;0,047863714;-;0,049080333;-;0,048031417;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Homem;-;-;0,074131758;0,071454404;-;0,072102083;-;0,071105429;-;0,07101781;-;0,071541988;-;0,072428894;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Mulher;-;-;0,07094985;0,069535695;-;0,070299581;-;0,068210998;-;0,067471286;-;0,068725768;-;0,066896779;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Total1;-;-;0,05016184;0,049489849;-;0,049264286;-;0,048213124;-;0,047863714;-;0,049080333;-;0,048031417;-
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Branca;-;-;0,496725835;0,477836464;-;0,479246095;-;0,48073797;-;0,476650446;-;0,480914079;-;0,481603234;-
